"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"284","Layer 01","","point","-76.00813293457031,-114.4395980834961,-18.19769859313965"
"285","Layer 01","","point","-77.51417541503906,-111.8898696899414,-21.19769859313965"
"286","Layer 01","","point","-76.00813293457031,-114.4395980834961,-18.19769859313965"
"287","Layer 01","","point","-85.92227172851562,-106.1206512451172,-18.19769859313965"
"288","Layer 01","","point","-87.62908935546875,-102.8619613647461,-21.19769859313965"
"289","Layer 01","","point","-77.51417541503906,-111.8898696899414,-21.19769859313965"
"290","Layer 01","","point","-76.00813293457031,-114.4395980834961,-18.19769859313965"
"291","Layer 01","","point","-87.62908935546875,-102.8619613647461,-21.19769859313965"
"292","Layer 01","","point","-123.7995376586914,-18.31128692626953,-18.19769859313965"
"293","Layer 01","","point","-123.7148666381836,-19.76499557495117,-18.19769859313965"
"294","Layer 01","","point","-122.5373229980469,-23.52697563171387,-21.19769859313965"
"295","Layer 01","","point","-123.7148666381836,-19.76499557495117,-18.19769859313965"
"296","Layer 01","","point","-122.9832611083984,-32.32615280151367,-18.19769859313965"
"297","Layer 01","","point","-121.1789932250977,-37.01657867431641,-21.19769859313965"
"298","Layer 01","","point","-122.5373229980469,-23.52697563171387,-21.19769859313965"
"299","Layer 01","","point","-123.7148666381836,-19.76499557495117,-18.19769859313965"
"300","Layer 01","","point","-121.1789932250977,-37.01657867431641,-21.19769859313965"
"301","Layer 01","","point","-37.70162582397461,-133.9608459472656,-18.19769859313965"
"302","Layer 01","","point","-39.10129165649414,-133.451416015625,-18.19769859313965"
"303","Layer 01","","point","-40.02841949462891,-132.0316925048828,-21.19769859313965"
"304","Layer 01","","point","-39.10129165649414,-133.451416015625,-18.19769859313965"
"305","Layer 01","","point","-50.89361190795898,-129.1593627929688,-18.19769859313965"
"306","Layer 01","","point","-44.95366668701172,-130.3117218017578,-21.19769859313965"
"307","Layer 01","","point","-40.02841949462891,-132.0316925048828,-21.19769859313965"
"308","Layer 01","","point","-39.10129165649414,-133.451416015625,-18.19769859313965"
"309","Layer 01","","point","-44.95366668701172,-130.3117218017578,-21.19769859313965"
"310","Layer 01","","point","-37.70162582397461,-133.9608459472656,-18.19769859313965"
"311","Layer 01","","point","-37.07991790771484,-134.1082000732422,-18.19769859313965"
"312","Layer 01","","point","-35.0328369140625,-133.5351867675781,-21.19769859313965"
"313","Layer 01","","point","-37.07991790771484,-134.1082000732422,-18.19769859313965"
"314","Layer 01","","point","-24.04142189025879,-137.1983795166016,-18.19769859313965"
"315","Layer 01","","point","-21.78371238708496,-136.411865234375,-21.19769859313965"
"316","Layer 01","","point","-35.0328369140625,-133.5351867675781,-21.19769859313965"
"317","Layer 01","","point","-37.07991790771484,-134.1082000732422,-18.19769859313965"
"318","Layer 01","","point","-21.78371238708496,-136.411865234375,-21.19769859313965"
"319","Layer 01","","point","110.3623275756836,-59.600341796875,-18.19769859313965"
"320","Layer 01","","point","110.3149108886719,-59.71027755737305,-18.19769859313965"
"321","Layer 01","","point","108.9220199584961,-60.1865348815918,-21.19769859313965"
"322","Layer 01","","point","110.3149108886719,-59.71027755737305,-18.19769859313965"
"323","Layer 01","","point","104.8019180297852,-72.49082183837891,-18.19769859313965"
"324","Layer 01","","point","103.4616546630859,-72.59616088867188,-21.19769859313965"
"325","Layer 01","","point","108.9220199584961,-60.1865348815918,-21.19769859313965"
"326","Layer 01","","point","110.3149108886719,-59.71027755737305,-18.19769859313965"
"327","Layer 01","","point","103.4616546630859,-72.59616088867188,-21.19769859313965"
"328","Layer 01","","point","117.642707824707,-18.31128692626953,-18.19769859313965"
"329","Layer 01","","point","117.5580368041992,-19.76499557495117,-18.19769859313965"
"330","Layer 01","","point","116.3804931640625,-23.52697563171387,-21.19769859313965"
"331","Layer 01","","point","117.5580368041992,-19.76499557495117,-18.19769859313965"
"332","Layer 01","","point","116.8264312744141,-32.32615280151367,-18.19769859313965"
"333","Layer 01","","point","115.0221633911133,-37.01657867431641,-21.19769859313965"
